AT,V,AP,RH,PE
0.372521,0.291815,0.771591,0.638204,463.26
0.66204,0.669039,0.671863,0.44933,444.37
0.093484,0.249822,0.476862,0.892493,488.56
0.53966,0.568683,0.429349,0.684718,446.48
0.255241,0.216014,0.404355,0.952547,473.9
0.692918,0.606406,0.478594,0.445174,443.67
0.398867,0.330961,0.52289,0.665952,467.35
0.21728,0.344306,0.649097,0.547855,478.42
0.363456,0.349466,0.714922,0.210322,475.98
0.281303,0.323843,0.550606,0.605362,477.5
0.458357,0.32669,0.389755,0.663271,453.02
0.519263,0.383808,0.538728,0.518231,453.99
0.638244,0.856584,0.455828,0.785389,440.29
0.677054,0.591281,0.491957,0.486193,451.28
0.690652,0.782562,0.410542,0.831501,433.99
0.555524,0.327936,0.565949,0.234853,462.19
0.464589,0.349466,0.741648,0.312064,467.54
0.261473,0.291459,0.735214,0.696381,477.2
0.358074,0.487367,0.769117,0.509786,459.85
0.344476,0.233274,0.550854,0.398391,464.3
0.451841,0.303559,0.400891,0.545576,468.27
0.101983,0.261744,0.650087,0.525603,495.24
0.168555,0.301068,0.386785,0.774129,483.8
0.720113,0.685765,0.529819,0.289946,443.61
0.723796,0.413523,0.25464,0.3937,436.06
0.726912,0.807117,0.422668,0.657641,443.25
0.362323,0.248221,0.450878,0.629491,464.16
0.172805,0.259786,0.759218,0.842895,475.52
0.113314,0.185587,0.476367,0.89437,484.41
0.813598,0.708541,0.489978,0.218365,437.89
0.624929,0.686477,0.646622,0.250938,445.11
0.687819,0.588078,0.513487,0.523056,438.86
0.777904,0.738256,0.450878,0.505228,440.98
0.724363,0.868327,0.42539,0.711126,436.65
0.651558,0.686477,0.640188,0.254021,444.26
0.309915,0.332206,0.356347,0.856568,465.86
0.647309,0.68274,0.458055,0.6563,444.37
0.412748,0.39306,0.42539,0.848525,450.69
0.342776,0.248932,0.53947,0.669571,469.02
0.605382,0.461566,0.473893,0.711528,448.86
0.585269,0.39306,0.364514,0.684853,447.14
0.328045,0.346797,0.602574,0.735657,469.18
0.211615,0.2879,0.629547,0.728284,482.8
0.283569,0.311388,0.525365,0.840751,476.7
0.23966,0.271886,0.686464,0.791421,474.99
0.598017,0.686477,0.653056,0.229625,444.22
0.401983,0.222598,0.676813,0.708445,461.33
0.549858,0.32153,0.447167,0.476005,448.06
0.330028,0.344306,0.535016,0.327614,474.6
0.214731,0.262456,0.897055,0.693432,473.05
0.828895,0.856584,0.437763,0.242627,432.06
0.311898,0.235943,0.638951,0.780697,467.41
0.871388,0.953025,0.463004,0.548391,430.12
0.17847,0.299288,0.542687,0.905228,473.62
0.343059,0.249644,0.496164,0.736729,471.81
0.601416,0.606228,0.429102,0.582172,442.99
0.72238,0.695374,0.538481,0.425067,442.77
0.116147,0.248577,0.427864,0.937936,491.49
0.664306,0.635587,0.514477,0.618767,447.46
0.741076,0.59573,0.231626,0.433244,446.11
0.687535,0.479359,0.349913,0.506434,442.44
0.770538,0.717972,0.512744,0.301743,446.22
0.293768,0.262278,0.588468,0.888874,471.49
0.338527,0.364947,0.395942,0.827212,463.5
0.671105,0.59484,0.572383,0.520643,440.01
0.749292,0.711388,0.536253,0.239142,441.03
0.554674,0.669039,0.658253,0.625737,452.68
0.154391,0.272776,0.681514,0.866756,474.91
0.247309,0.15427,0.638951,0.64933,478.77
0.733711,0.87153,0.129918,0.620509,434.2
0.603399,0.764057,0.617174,0.818499,437.91
0.161473,0.27847,0.784954,0.963137,477.61
0.6983,0.877402,0.587973,0.789276,431.65
0.779887,0.87153,0.140807,0.750536,430.57
0.241076,0.301068,0.394209,0.671582,481.09
0.592918,0.63452,0.412522,0.72185,445.56
0.330595,0.257829,0.490473,0.447051,475.74
0.671671,0.789858,0.432319,0.864611,435.12
0.560057,0.745374,0.606286,0.716354,446.15
0.732295,0.91637,0.208364,0.588606,436.64
0.712465,0.78452,0.519673,0.347319,436.69
0.296884,0.299288,0.585004,0.771716,468.75
0.398017,0.314235,0.477357,0.197989,466.6
0.341643,0.35089,0.780252,0.752413,465.48
0.631161,0.859786,0.54541,0.924799,441.34
0.528045,0.78452,0.486018,0.88807,441.83
0.375637,0.248043,0.646127,0.510188,464.7
0.875637,0.789858,0.413512,0.318901,437.99
0.465156,0.597865,0.560752,0.590483,459.12
0.956091,0.775445,0.338283,0.17681,429.69
0.468839,0.463879,0.437515,0.866086,459.8
0.695184,0.688434,0.418708,0.746381,433.63
0.683003,0.633274,0.537738,0.306971,442.84
0.175637,0.290036,0.534521,0.685791,485.13
0.504816,0.486833,0.796832,0.343164,459.12
0.515864,0.746619,0.47414,0.680697,445.31
0.234278,0.27331,0.737689,0.559517,480.8
0.720113,0.731673,0.30537,0.359517,432.55
0.610765,0.683452,0.508043,0.682038,443.86
0.479603,0.602313,0.628805,0.884584,449.77
0.368272,0.326157,0.601336,0.62118,470.71
0.603116,0.461566,0.471171,0.730429,452.17
0.252408,0.285053,0.710468,0.512198,478.29
0.783286,0.828826,0.348181,0.491957,428.54
0.178187,0.271886,0.687206,0.850938,478.27
0.721813,0.663701,0.364761,0.435121,439.58
0.433144,0.432918,0.312794,0.754155,457.32
0.274221,0.335231,0.64093,0.879088,475.51
0.61983,0.715836,0.444444,0.84933,439.66
0.331445,0.276335,0.448899,0.794504,471.99
0.221813,0.248932,0.549616,0.887399,479.81
0.675354,0.953025,0.44395,0.817694,434.78
0.56034,0.649644,0.452611,0.424263,446.58
0.74136,0.586655,0.520416,0.384584,437.76
0.481303,0.255516,0.206632,0.512601,459.36
0.466572,0.344306,0.596387,0.109249,462.28
0.332578,0.32242,0.573868,0.558847,464.33
0.6,0.370996,0.44098,0.463137,444.36
0.626912,0.605516,0.530314,0.656702,438.64
0.33796,0.15427,0.638456,0.560054,470.49
0.552125,0.280071,0.221975,0.230429,455.13
0.728895,0.73968,0.598119,0.397319,450.22
0.651558,0.68274,0.407077,0.77815,440.43
0.089518,0.31121,0.52289,0.847453,482.98
0.379887,0.454093,0.527097,0.999464,460.44
0.625212,0.513167,0.492947,0.522252,444.97
0.883853,0.770641,0.304628,0.346515,433.94
0.684703,0.85089,0.479832,0.807239,439.73
0.747025,0.863345,0.321703,0.668231,434.48
0.562606,0.631317,0.619649,0.751609,442.33
0.449292,0.351068,0.528829,0.353351,457.67
